"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QSK5GJP2","thesis","1997","Maxwell, Arthur Wesley","Beliefs concerning the doctrine of entire sanctification held by lay full members of the Atlantic District of the Wesleyan Church","","","","","https://search.proquest.com/pqdtglobal/docview/304414289/abstract/47EF72FABB9E499APQ/27","The purpose of this study has been to identify and describe the beliefs concerning the doctrine of entire sanctification currently held by lay full members of the Atlantic District of The Wesleyan Church. The Wesleyan Church has a rich heritage in Methodism and can trace its roots back to eighteenth century England and Methodism's founder, John Wesley. Wesley stressed the doctrine of entire sanctification and taught that all believers could experience a clean heart filled with perfect love in this life. This doctrine was successfully transplanted into early American Methodism and subsequently into The Wesleyan Church. The Atlantic District of The Wesleyan Church has not always been a part of this rich Methodist heritage. Until 1966, this district was an independent denomination known as The Alliance of The Reformed Baptist Church of Canada. The Reformed Baptists organized as a denomination in Woodstock, New Brunswick, November 3, 1888, as a result of the disfellowshipping of five ministers of The Free Christian Baptist Church for preaching and teaching the doctrine of entire sanctification. In July, 1966, The Reformed Baptist Church merged with The Wesleyan Methodist Church (now The Wesleyan Church) and became The Atlantic District of that denomination. The qualitative paradigm and case study design was selected as the most appropriate methodology for meeting the requirements of this study. A random sample of forty lay full members was selected from a representative case selected within The Atlantic District of The Wesleyan Church. Guided interviews were conducted with participants in order to determine their views on various aspects of the doctrine of entire sanctification. The data reveals that only 55% of lay full members in the representative case profess to be entirely sanctified. Seventy-two percent of participants state that preaching is the major contributor to their understanding of this doctrine. From the data it is also evident that there is a general lack of understanding of the doctrine of entire sanctification among lay full members of the representative case in The Atlantic District.","1997","2018-11-01 17:54:13","2018-11-01 17:54:13","2018-08-21 13:29:19","","179","","","","","","","","","","Canadian Theological Seminary (Canada)","Canada","English","Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.","D.Min.","","","ProQuest","","","","/home/jsanford/Zotero/storage/34LVFJBF/Maxwell - 1997 - Beliefs concerning the doctrine of entire sanctifi.pdf","","","Philosophy; religion and theology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3CSXCJP","book","1825","Alder, Robert; M'Leod, Alexander.; Priestley, James.","A defence of the proceedings of the extra district meeting, of the Wesleyan missionaries, begun in Saint John, New-Brunswick, Thursday, July 29, 1824: together with the communications that were published against them.","","","","","https://books.google.ca/books?id=mMcOAAAAYAAJ&lpg=PA1&ots=FeUhKFMy3q&dq=defence%20of%20the%20proceedings%20of%20the%20extra%20district%20meeting%20wesleyan%20missionaries&pg=PA1#v=onepage&q=defence%20of%20the%20proceedings%20of%20the%20extra%20district%20meeting%20wesleyan%20missionaries&f=false","","1825","2018-11-01 17:54:13","2018-11-01 17:54:13","","","iv, 64","","","","","A defence of the proceedings of the extra district meeting, of the Wesleyan missionaries, begun in Saint John, New-Brunswick, Thursday, July 29, 1824","","","","","Printed by Henry Chubb","Saint John","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8P4IHAH7","journalArticle","2012","Wilkins-Laflamme, Sarah","Normalizing Denominational Statistics with Demographic Data: The Case of the United Church of Canada.","Canadian Review of Sociology","","17556171","","https://login.proxy.hil.unb.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=86371368&site=ehost-live&scope=site","In the Canadian context, one type of data has been underutilized in the study of contemporary religious trends: church collected statistics. The present article explores the advantages and limitations of such data by analyzing the evolution of key church indicators of the United Church of Canada over the past four decades. Figures regarding church membership, child baptisms, and funerals are examined and compared with demographic data from four Canadian regions. Results show that virtually all United Church statistics are in decline with regard to larger society since the 1970s. However, there are regional variations, most notably in the Atlantic provinces, which show later and lesser rates of decline. (English) [ABSTRACT FROM AUTHOR]","2012-05","2018-11-01 17:54:02","2018-11-01 17:54:02","","173-187","","2","49","","Canadian Review of Sociology","","","","","","","","","","","ahl","","EBSCOhost","","","","","","","BAPTISM; CHURCH membership; CHURCH statistics; DEMOGRAPHY -- Canada; FUNERALS; UNITED Church of Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4D8WI9TN","thesis","1993","Song, Zhuoying","A study of three women missionaries of the United Church of Canada, from the Maritime provinces to Sichuan, China, 1933-1952","","","","","https://search.proquest.com/pqdtglobal/docview/304101884/abstract/47EF72FABB9E499APQ/163","From 1897 to 1952, there were at least twenty-six women missionaries of the Methodist/United Church of Canada (hereafter, UCC) from the Maritime region sent to work in Sichuan (Szechwan) Province of China, where the West China Mission (hereafter, WCM) was founded in 1891 by the Methodist Church of Canada (hereafter, MCC). The women undertook preaching, teaching and medical duties there. From the Maritime Provinces to Sichuan is not only a lengthy geographic distance; there were also major differences between the two social and cultural situations. Sichuan was traditionally called ""Shu"". There is a famous verse describing the road to Sichuan: the road to Shu is as hard as the road to heaven. However, like missionaries of the previous generation, A. Jean L. Stewart, Katharine B. Hockin and Grace M. Webster set their feet on the hard road to Shu. Why did these women choose to become missionaries in that very remote corner of the world? What did they do there and what kind of interactions took place during their years of work? In order to address the questions mentioned above, the thesis approaches the three women through their life stories. They were members of the second generation of women missionaries who were sent to overseas missions after the UCC was established in 1925.","1993","2018-11-01 17:54:02","2018-11-01 17:54:02","2018-08-21 14:20:19","","144","","","","","","","","","","Saint Mary's University (Canada)","Canada","English","Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.","M.A.","","","ProQuest","","","","/home/jsanford/Zotero/storage/8AQSDVQT/Song - 1993 - A study of three women missionaries of the United .pdf","","","Philosophy; religion and theology; A. Jean L. Stewart; Grace M. Webster; Katharine B. Hockin; Language; literature and linguistics; Social sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8T4UUTPZ","journalArticle","1990","Rumscheidt, Barbara","INSTITUTIONALIZING CHRISTIAN HETEROSEXISM IN MARITIME CONFERENCE OF THE UNITED CHURCH OF CANADA.","Resources for Feminist Research","","07078412","","https://login.proxy.hil.unb.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=45815647&site=ehost-live&scope=site","Recounts how beginning in the mid-1980's the Maritime Conference of the United Church of Canada adopted policies instituting the exclusion of homosexuals from the ministry.","1990-03","2018-11-01 17:54:02","2018-11-01 17:54:02","","75-80","","3/4","19","","Resources for Feminist Research","","","","","","","","","","","ahl","","EBSCOhost","","","","","","","UNITED Church of Canada; CANADA; CLERGY; HOMOSEXUALITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NX2UQWNP","journalArticle","1965","Unsigned","REPORTS ON ARCHIVES.","Bulletin of the United Church of Canada","","","","https://login.proxy.hil.unb.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=46921494&site=ehost-live&scope=site","Brief reports of the United Church Archives Committees: those of the Central Archives at Victoria University (Toronto), the Alberta Conference, the British Columbia Conference, the Hamilton Conference, the London Conference, the Maritime Conference, and the Montreal and Ottawa Conference. The reports include brief statements of acquisitions in the past year, which have been ""about normal."" Most material is in the form of church records, although the Central Archives are building substantial holdings of church newspapers and private papers.","1965-01","2018-11-01 17:54:02","2018-11-01 17:54:02","","34-42","","","18","","Bulletin of the United Church of Canada","","","","","","","","","","","ahl","","EBSCOhost","","","","","","","CANADA; United Church Archives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PA8WBD2D","bookSection","1925","Lauvriere, E.","Les Jesuites en Acadie.","Le Canada Francais","","","","","","1925","2018-11-01 17:53:37","2018-11-01 17:53:37","","733-744","","","","","","","","","","","","","","","","UNB Library, Fredericton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AP6A5C33","book","1929","Filles Marie de L'Assomption","Le congregation des filles de Marie de l'Assomption; son but, son esprit, ses oeuvres.","","","","","","","1929","2018-11-01 17:53:37","2018-11-01 17:53:37","","","72","","","","","","","","","","","","","","","Universite de Moncton, Archives Acadiennes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XIFG97P","journalArticle","1941","Caron, I.","Les peres capucins en Acadie.","Bulletin des recherches historiques","","","","","","1941","2018-11-01 17:53:37","2018-11-01 17:53:37","","128-131","","5","XLVII","","","","","","","","","","","","","UNB Library, Fredericton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZIWR5I6T","book","1944","Pacifique père","Chroniques des plus anciennes Eglises de l'Acadie: Bathurst, Pabos et Ristigouche, Rivière Saint-Jean, Memramcook","","","","","","","1944","2018-11-01 17:53:37","2018-11-01 17:53:37","","","xx, 147","","","","","Chroniques des plus anciennes Eglises de l'Acadie","","","","","L'Écho de Saint-Franc̜ois","Montréal","French","","","UNB Library, Fredericton","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
