"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JWAKRZY3","book","1882","Diocesan Church Society of New Brunswick.","Forty-seventh report of the Diocesan Church Society of New Brunswick, 1882.","","978-0-665-43879-0","","","","","1882","2019-02-06 19:04:59","2019-02-06 19:04:59","","","183","","","","","","CIHM/ICMH microfiche series ; no. 43879.","","","","[publisher not identified]","[Saint John, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUSXB8U2","book","1877","Diocesan Church Society of New Brunswick.","Forty-second report of the Diocesan Church Society of New Brunswick, 1877.","","978-0-665-43874-5","","","","","1877","2019-02-06 19:04:59","2019-02-06 19:04:59","","","127","","","","","","CIHM/ICMH microfiche series ; no. 43874.","","","","[publisher not identified]","[Frederiction, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SU94JZRQ","book","1865","Diocesan Church Society of New Brunswick.","Thirtieth report of the Diocesan Church Society of New Brunswick, 1865.","","978-0-665-43862-2","","","","","1865","2019-02-06 19:04:59","2019-02-06 19:04:59","","","","","","","","","CIHM/ICMH microfiche series ; no. 43862.","","","","[publisher not identified]","[Saint John, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9C47NTK","book","1872","Diocesan Church Society of New Brunswick.","Thirty-seventh report of the Diocesan Church Society of New Brunswick, 1872.","","978-0-665-43869-1","","","","","1872","2019-02-06 19:04:59","2019-02-06 19:04:59","","","124","","","","","","CIHM/ICMH microfiche series ; no. 43869.","","","","[publisher not identified]","[Fredericton, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W9TU9DCU","book","1855","Diocesan Church Society of New Brunswick.","Nineteenth report of the proceedings of the Diocesan Church Society of New Brunswick, during the year 1854.","","978-0-665-43851-6","","","","","1855","2019-02-06 19:04:59","2019-02-06 19:04:59","","","64","","","","","","CIHM/ICMH microfiche series ; no. 43851.","","","","[publisher not identified]","[Saint John, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7T749U7","book","1850","Diocesan Church Society of New Brunswick.","Fourteenth report of the proceedings of the Diocesan Church Society of New Brunswick, during the year 1849.","","978-0-665-43846-2","","","","","1850","2019-02-06 19:04:59","2019-02-06 19:04:59","","","63","","","","","","CIHM/ICMH microfiche series ; no. 43846.","","","","[publisher not identified]","[Saint John, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC748REY","book","1858","Diocesan Church Society of New Brunswick.","Twenty second report of the proceedings of the Diocesan Church Society of New Brunswick, 1857-8.","","978-0-665-43854-7","","","","","1858","2019-02-06 19:04:59","2019-02-06 19:04:59","","","","","","","","","CIHM/ICMH microfiche series ; no. 43854.","","","","[publisher not identified]","[Saint John, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WU7V3TR","book","1885","Diocesan Church Society of New Brunswick.","Fiftieth report of the Diocesan Church Society of New Brunswick, 1885: part I.","","978-0-665-43882-0","","","","","1885","2019-02-06 19:04:59","2019-02-06 19:04:59","","","176","","","","","Fiftieth report of the Diocesan Church Society of New Brunswick, 1885","CIHM/ICMH microfiche series ; no. 43882.","","","","[publisher not identified]","[Saint John, N.B.]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RD5G3TGX","book","1864","Diocesan Church Society of New Brunswick.","Twenty ninth report of the Diocesan Church Society of New Brunswick, 1864.","","978-0-665-43861-5","","","","","1864","2019-02-06 19:04:59","2019-02-06 19:04:59","","","77","","","","","","CIHM/ICMH microfiche series ; no. 43861.","","","","[publisher not identified]","[Saint John, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGFXU38M","book","1859","Diocesan Church Society of New Brunswick.","Twenty fourth report of the Diocesan Church Society of New Brunswick, 1859.","","978-0-665-43856-1","","","","","1859","2019-02-06 19:04:59","2019-02-06 19:04:59","","","63","","","","","","CIHM/ICMH microfiche series ; no. 43856.","","","","[publisher not identified]","[Saint John, N.B.?]","English","","","","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
