"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QMH3KQMK","book","1984","Gill, Barbara","Friends.","","","","","","","1984","2019-02-25 20:34:01","2019-02-25 20:34:01","","","31","","","","","","","","","","s.n.","s.l.","","","","","","","","","<p>Found in Atlantic Soundings; UNB does not own; Leg has one copy in NB Collection</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QT8ZKE97","book","1970","Richards, David Adams","One step inside","","","","","","","1970","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","","","","","","publisher not identified","Bathurst, N.B","English","","","","","Open WorldCat","","OCLC: 225484235","<p>hil-SPECH</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3INAYT8","book","1821","Union Fire Club (Fredericton, N.B.)","Rules and regulations of the Union Fire Club: formed at Fredericton, N.B., November 22d, 1821.","","978-0-665-54622-8","","","","","1821","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Rules and regulations of the Union Fire Club","","","","","publisher not identified","Fredericton, N.B.?","English","","","","","Open WorldCat","","OCLC: 17943761","<p>Verified from MF no publisher info</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKYNLCUQ","book","1786","Union Fire Club (Saint John, N.B.)","Union Fire Club : to consist of a number not to exceed fifty members, established at the city of Saint John, on January the 7th, 1786.","","978-0-665-95367-5","","","","","1786","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Union Fire Club","","","","","[publisher not identified]","[Saint John?]","","","","","","","","","<p>Verified - no pub info provided</p>","/home/cvillami/Zotero/storage/ZZ4Z89C9/search.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MB3DS9K","book","1994","Catholic Church; Diocese of Chatham (N.B.); Bishop (1860-1902 : Rogers); Rogers, James","Letter]: James Rogers, by the Grace of God, and favor of the Holy Apostolic See, Bishop of Chatham, &c. &c.","","978-0-665-94495-6","","","","","1994","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Letter]","","","","","publisher not identified","Chatham, N.B.?","English","","","","","Open WorldCat","","OCLC: 53616993","<p>Verified by opening CIHM ebook</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HHCUI8JQ","book","1905","Raymond, W. O","Glimpses of the past: history of the river St. John, A.D. 1604-1784","","","","","http://persi.heritagequestonline.com/hqoweb/library/do/books/results/shortcitation?urn=urn:proquest:US;glhbooks;Genealogy-glh49041948;-1;-1;&letter=G","","1905","2019-02-25 20:34:01","2019-02-25 20:34:01","2017-03-08 15:17:02","","","","","","","Glimpses of the past","","","","","Publisher not identified/verified","St. John, N.B.","English","","","","","Open WorldCat","","OCLC: 181355549","<p><!--StartFragment-->Text looks typewritten not typeset.&nbsp; Preface indicates that the chapters were contributed, from time to time, to the Saturday edition of the Saint John Daily Telegraph.&nbsp; Author quotes Montaigne: ""I bring you a nosegay of culled flowers, and I have brought little of my own but the string that ties them.""<!--EndFragment--></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTM9QDR6","book","192","Moore, D. R.","Man's institutes of death; an appeal for the abolition of the death penalty","","","","","","","0192","2019-02-25 20:34:01","2019-02-25 20:34:01","","","39","","","","","","","","","","n.p.","Fredericton, NB","","","","HIL-SPECAR HV8694 .M66; stacks copy","","","","","<p>Found in Rogers</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I9LY24BD","book","1880","Elder, William; Mount Allison Wesleyan College","Meliora: an oration before the alumni of the Mount Allison Wesleyan College, Sackville, on the 1st of June, 1880","","978-0-665-05223-1","","","https://archive.org/details/cihm_05223","","1880","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","Meliora","","","","","Publisher not identified/verified","Sackville, N.B.?","English","","","LAC","","Open WorldCat","","OCLC: 317863830","<p>in McF</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3D9SJE9","book","1876","Windeyer, Walter","On apostolic succession","","978-0-665-24083-6","","","https://archive.org/details/cihm_24083","","1876","2019-02-25 20:34:01","2019-02-25 20:34:01","","","","","","","","","","","","","James A Moore, Printer","Philadelphia","English","","","","","Open WorldCat","","OCLC: 11458384","<p>in McF as pub in St. John; remove?</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V87F28KI","book","","Creed, Herbert Clifford","Outlines of Canadian history, with tables prepared for the use of students of the Provincial Normal School","","","","","","","","2019-02-25 20:34:01","2019-02-25 20:34:01","","","n.p. circa 1880","","","","","","","","","","n.p.","n.p.","","","","Copy not found","","","","","<p>in McFarlane.&nbsp; Pub or printed in NB?</p> <p>&nbsp;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
