"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PEJN78S4","book","1878","Talmage de Witt, Thomas","The Night Sides of City Life","","","","","https://www.canadiana.ca/view/oocihm.24452","Protestant, Sermons","1878","2022-01-19 18:34:12","2022-01-19 18:34:12","","","161","","","","","","","","","","J. & A. McMillan","St. John, NB","","","","Legislative Library, Fredericton, UNBF (mic), Dalhousie","","","","","","","","","Sermons; Protestant churches","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6DTNWUNB","thesis","2008","Nelson, Shelley F.","Links in the Chain Maritime Women and the Protestant Missionary Movement, 1870–1925","","","","","https://login.proxy.hil.unb.ca/login?url=https://www-proquest-com.proxy.hil.unb.ca/docview/1027215956?accountid=14611","Throughout the late nineteenth and early twentieth centuries, the experience of women in Western society, particularly that of middle-class women, was shaped by the tenets of a domestic ideology that stressed the notion of public and private spheres. This study moves beyond an examination of the ""separate sphere"" inhabited by Maritime women and, instead, focuses on the ways that women's roles in Maritime society were negotiated and renegotiated in the interstices where change occurs; the mission fields of the late-nineteenth and early-twentieth centuries provided one of those spaces. By examining the religious literature of the day, personal papers, letters and diaries, articles in Church journals and magazines – particularly those written by women for women – and the official papers of various mission organizations, this dissertation explains how Maritime women, both at home and abroad, entered a larger, public sphere far removed from the private domains assigned to them by an all-encompassing domestic ideology that stressed women's particular role as wife and mother, exemplar and protector of Western mores and civilization. Even though Maritime women did not openly challenge the subordinate role assigned to them by both the church and separate spheres ideology, changes in their interpretation and adaptation of separate spheres doctrine can be traced through an examination of their participation in, and support for, the foreign mission cause during the period from 1870-1925. The 84 women missionaries whose experiences are at the core of this dissertation, all of whom were participants in the Protestant foreign missionary movement from 1870-1925, did not change the patriarchal nature of mission work. Yet, their participation in the foreign missionary movement, combined with the activism of their mission supporters at home, did allow middle-class Maritime women to redefine their role in a public sphere without renouncing the private sphere assigned to them. Their belief in a mandate that stressed ""women's work for women"" allowed them not only to participate in missions but also to influence the very direction of the mission movement. Their efforts and experiences present an excellent case study for feminist historians interested in the ways in which women tend to choose to work within, rather than confront, ideologies which would limit and constrain their activities to acceptable spheres – a problem which continues to challenge women today.","2008","2022-01-19 18:34:12","2022-01-19 18:34:12","","","391","","","","","","","","","","University of New Brunswick (Canada)","Fredericton, NB","English","","Ph.D.","UNBF","","","","","","/home/cvillami/Zotero/storage/Y7UYV46K/Nelson - 2008 - Links in the chain maritime women and the Protesta.pdf","","","Philosophy; religion and theology; Social sciences; Maritime; Missionary movement; Protestant; Women missionaries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS6WIXFF","thesis","2012","Fox, Lorna","""In All Thy Sons Command"": Maritime Youth Parliaments Debates, 1945-70","","","","","https://login.proxy.hil.unb.ca/login?url=https://search-proquest-com.proxy.hil.unb.ca/docview/1464385031?accountid=14611ps://search.proquest.com/pqdtglobal/docview/1464385031/abstract/47EF72FABB9E499APQ/85","Protestant, Youth, Tuxis, Maritime Christian Youth Parliament","2012","2022-01-19 18:34:12","2022-02-10 20:20:38","","","184","","","","","""In All Thy Sons Command""","","","","","University of New Brunswick","Fredericton, NB","English","","M.A.","UNBF","","","","","<p>2 microfiches</p>","/home/cvillami/Zotero/storage/RV44IHPE/Fox - 2012 - In all thy sons command Maritime youth Parliame.pdf","","","Maritime Christian Youth Parliament; Maritime Model Parliamentarians; Model parliament; Protestantism; Social sciences; Tuxis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WWLIQPL","journalArticle","1997","Beaman, Lori G.","The Paths Between Resistance and Collaboration: Evangelical Women in Atlantic Canada","Atlantis: Critical Studies in Gender, Culture & Social Justice / Études Critiques sur le Genre, la Culture, et la Justice","","07027818","","https://login.proxy.hil.unb.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=45842367&site=ehost-live&scope=site","Baptist, Wesleyan, Women, Politics, Society, Feminism, Political support","1997-09","2022-01-19 18:34:12","2022-01-19 18:34:12","","9-18","","1","22","","Atlantis: Critical Studies in Gender, Culture & Social Justice / Études Critiques sur le Genre, la Culture, et la Justice","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 45842367; Beaman, Lori G.; Source Info: 1997, Vol. 22 Issue 1, p9; Note: 11 notes.; Historical Period: 1996; Subject Term: WOMEN; Subject Term: INTERVIEWING; Subject Term: FEMINISM; Subject Term: EVANGELICALISM; Subject Term: ATTITUDE (Psychology); Subject: CANADA; Subject: ATLANTIC Provinces; Number of Pages: 10p; Document Type: Article</p>; <p>Accession Number: 45842367; Beaman, Lori G.; Source Info: 1997, Vol. 22 Issue 1, p9; Note: 11 notes.; Historical Period: 1996; Subject Term: WOMEN; Subject Term: INTERVIEWING; Subject Term: FEMINISM; Subject Term: EVANGELICALISM; Subject Term: ATTITUDE (Psychology); Subject: CANADA; Subject: ATLANTIC Provinces; Number of Pages: 10p; Document Type: Article</p>","","","CANADA; ATLANTIC Provinces; EVANGELICALISM; ATTITUDE (Psychology); FEMINISM; INTERVIEWING; WOMEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NC3QZUYX","book","1863","Zion's Church","A Manual of the Rules of Faith and Order of Zion's Church: Parish of Portland, N.B.","","","","","https://catalog.hathitrust.org/Record/100281198","Protestant, Evangelicalism (Portland N.B.)","1863","2022-01-19 18:34:12","2022-01-19 18:34:12","","","12","","","","","","","","","","Barnes & Co.","Saint John, NB","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIB3W3K5","book","1990","Rawlyk, George A.","The Canadian Protestant Experience, 1760 to 1990","","978-1-55011-142-2","","","","","1990","2022-01-19 18:34:12","2022-01-19 18:34:12","","","252","","","","","","Welch academic library","","","","Welch Pub. Co.","Burlington, ON","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZBIT7UI","thesis","2014","MacKay, Garth M.","The Holiness Movement in the Canadian Maritime Region, 1880-1920","","","","","http://hdl.handle.net/1893/21542","Holiness Movement, Methodist, Free Christian Baptist Conference, Church of the Nazarene, Salvation Army, Reformed Baptist Alliance of Canada","2014","2022-01-19 18:32:36","2022-01-19 18:32:36","","","380","","","","","","","","","","University of Stirling","Stirling, Scotland","English","","Ph.D.","Acadia","","","","","","/home/cvillami/Zotero/storage/S5VBHXCC/21542.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2GUQZE5","book","1888","De Soyres, John","Christian Reunion. The Hulsean Lectures for 1886","","","","","https://openlibrary.org/books/OL23348777M","Anglican","1888","2022-01-19 18:32:13","2022-01-19 18:32:13","","","95","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 06069","","","","J. & A. McMillan","Saint John, NB","","","","UNBF, Acadia","","","","","","/home/cvillami/Zotero/storage/GR6PQTCY/search.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NAZLFF2","book","1892","De Soyres, John","Youth and Death: A Sermon Preached at St. John's Church on Sunday, January 17, 1892 After the Death of H. R. H. the Duke of Clarence","","","","","","Anglican, Sermons","1892","2022-01-19 18:32:13","2022-01-19 18:32:13","","","8","","","","","Youth and Death","","","","","Globe Press","Saint John, NB","English","","","NBM, LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JYT2HTSX","bookSection","2001","Acheson, Thomas W.","Evangelicals and Public Life in Southern New Brunswick, 1830-1880","Religion and Public Life in Canada: Historical and Contemporary Perspectives","978-1-4426-7919-1","","","","Baptist, Evangelism","2001","2022-01-19 18:32:36","2022-01-19 18:32:36","","50-68","","","","","","","","","","","University of Toronto Press","Toronto, ON","","","","","","","","","","","","","","Van Die, Marguerite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
