"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VCTP53F8","book","1970","","A Doorway to the Light, 1950-1975","","","","","","United Church, Westmorland County, Moncton, N.B.","1970","2022-01-19 18:34:27","2022-01-19 18:34:27","","","30","","","","","","","","","","Mountain View United Church","Moncton, NB","","","","Legislative Library, Fredericton, MtA","","","","","Cover title","","","","New Brunswick; Church history; United Church of Canada History; Westmorland County Moncton","Mountain View United Church","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2889SRIN","book","2002","Jones, Anita J.; Wilmot United Church","The Story of Wilmot United Church, 1791-2002: Fredericton, New Brunswick","","978-0-9732276-0-4","","","","(Fredericton, N.B.)","2002","2022-01-19 18:34:27","2022-01-19 18:34:27","","","164","","","","","","","","","","Wilmot United Church","Fredericton, NB","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPN8D5EZ","book","1984","","Central Blissville A Brief Historical Sketch","","","","","","Done as a  Bicentennial Project  in honour of New Brunswick 1784-1984","1984","2022-01-19 18:34:27","2022-01-19 18:34:27","","","77","","","","","","","","","","New Brunswick Bicentennial Commission","[Blissville, NB]","English","","","UNBF, UNBSJ, Legislative Library, Fredericton","","","","","","/home/cvillami/Zotero/storage/KD8SC8ST/Central-Blissville-A-Brief-Historical-Sketch-Richardson-Herbert-compiled-by.html","","","","Richardson, Herbert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WV3R9XDL","book","1985","Moar, Nancy M.; Williston, Todd D.","North End Community Needs Project: A Report","","","","","","United Church, Social conditions","1985","2022-01-19 18:34:27","2022-01-19 18:34:27","","","28","","","","","","","","","","Portland United Church","Saint John, NB","","","","Legislative Library, Fredericton","","","","","""A report prepared for the Portland United Church""","","","","New Brunswick; Saint John County Saint John; Housing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFKXI6BP","book","1987","Murray, Don","For Unbelieving Christians: Rethinking Christian Faith in Today's World","","978-0-920187-02-9","","","","","1987","2022-01-19 18:34:27","2022-01-19 18:34:27","","","106","","","","","","","","","","Tantramar Publications","Sackville, NB","English","","","AST Atlantic School Theology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFFYQUUB","book","1969","Keswick Ridge United Church Women Cook Book Committee","The Country Oven Cook Book","","","","","","","1969","2022-01-19 18:34:27","2022-01-19 18:34:27","","","","","","3","","","","","","","United Church Women","Keswick Ridge, NB","English","","","KL","","","","","","/home/cvillami/Zotero/storage/U5PDA6YR/The-Country-Oven-Cook-Book-in-2-vols-Keswick-Ridge-United-Church--Women-Cook-Book-Committee.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCK5M2LA","book","1976","Gough, Cyril H.; Portland United Church, St. John, N.B.; Portland United Church, St. John, N.B.","A History of Portland United Church (formerly Methodist) 1826-1976: Commemorating 150 Years of Faith and Witness","","","","","","United Church, Methodist","1976","2022-01-19 18:34:27","2022-01-19 18:34:27","","","120","","","","","","","","","","[Portland United Church]","St. John, NB","English","","","UNBF, NBM, MtA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTIIQS5I","book","1991","Grant, Evelyn; Timmins, Ruth; Keswick Ridge United Church","A History of Faith and Dedication Through 165 Years","","978-0-9695559-0-2","","","","(Keswick Ridge N.B.)","1991","2022-01-19 18:34:27","2022-01-19 18:34:27","","","55","","","","","","","","","","Keswick Ridge United Church","Mouth of Keswick, NB","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8YMRVBGR","book","1962","Fowler, Vivien M.","Eighty Years of a Church and Its People: Historical Notes of Hampton United Church","","","","","","United Church","1962","2022-01-19 18:34:27","2022-01-19 18:34:27","","","15","","","","","Eighty Years of a Church and Its People","","","","","N.p.","Hampton, NB","","","","UNBF, Legislative Library, Fredericton","","","","","","","","","New Brunswick; Church history; United Church of Canada History; Kings County Hampton; United Church of Canada (Hampton, N.B.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUZEJRYZ","book","1969","Hatcher, W. Chalmers","Dwelling Together in Unity History of First United Church (Trinity - St. Luke's)","","","","","","Bathurst N. B.","1969","2022-01-19 18:34:27","2022-01-19 18:34:27","","","129","","","","","","","","","","First United Church","Bathurst, NB","English","","","PANB, MtA, AST, Dalhousie","","","","","","/home/cvillami/Zotero/storage/ZFRKDIGW/Dwelling-Together-in-Unity--History-of-First-United-Church-Trinity---St-Lukes-Hatcher-W-Chalmer.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
