"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MQUYP84V","book","1875","Overy, Henry","The Authorized and Accustomed Place of the Font in the Church of England: An Appeal for Order","","978-0-665-11564-6","","","https://archive.org/details/cihm_11564","Anglican, Fonts, Baptism","1875","2022-01-19 18:32:13","2022-01-19 18:32:13","","","8","","","","","","CIHM/ICMH microfiche series ; no. 11564","","","","N.p.","[Saint John, NB]","English","","","LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEU4QMIH","book","1982","New Brunswick","An Act to Amend The Church of England Act, 1942 = Loi modifiant la loi intitulée ""The Church of England Act, 1942""","","","","","","Anglican","1982","2022-01-19 18:32:13","2022-01-19 18:32:13","","","2","","","","","","","","","","Queen's Printer","Fredericton, NB","English","","","LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCNM9RVE","book","2004","New Brunswick Genealogical Society","Anglican Church Baptism Registers (1822-1838 and 1838-1885): Chatham Parish, Northumberland County, New Brunswick","","","","","","Anglican Miramichi Branch","2004","2022-01-19 18:32:13","2022-01-19 18:32:13","","","","","","","","","","","","","New Brunswick Genealogical Society, Miramichi Branch","Miramichi, NB","English","","","LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAU8US6V","book","2006","New Brunswick Genealogical Society","Anglican Church Marriage Register (1833-1932): Chatham Parish, Northumberland County, New Brunswick","","","","","","Anglican Miramichi Branch","2006","2022-01-19 18:32:13","2022-01-19 18:32:13","","","","","","","","","","","","","NBGenealogical Society, Miramichi Branch","Miramichi, NB","English","","","LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDMDYPZD","thesis","2016","O'Keefe, Kieran","""The Nest of Tories Which Has Invested This Precinct"": The Loyalists of Newburgh, New York","","","","","","Anglican, Loyalists","2016","2022-01-19 18:32:13","2022-01-19 18:32:13","","","178","","","","","","","","","","University of Vermont and State Agricultural College","Vermont","English","","M.A.","Vermont Howe Library","","","","","","","","","Social sciences; American Revolution; Hudson Valley; Loyalists; New York; Newburgh; Tories","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3RSSCML","book","1752","Osbaldeston, Richard; Society for the Propagation of the Gospel in Foreign Parts","A Sermon Preached Before the Incorporated Society for the Propagation of the Gospel in Foreign Parts: At Their Anniversary Meeting in the Parish Church of St. Mary-Le-Bow, on Friday February 21, 1752","","","","","http://find.gale.com.proxy.hil.unb.ca/ecco/infomark.do?&source=gale&docLevel=FASCIMILE&prodId=ECCO&userGroupName=fred46430&tabID=T001&docId=CW3318266733&type=multipage&contentSet=ECCOArticles&version=1.0. Accessed 5 Nov. 2020","Anglican, Sermons (Great Britain)","1752","2022-01-19 18:32:13","2022-01-19 18:32:13","","","71","","","","","","","","","","Edward Owen","London, UK","English","","","Boston University Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9R7IKJ95","book","1983","Petchey, Helen M.","In Praise of the Trinity: The Story of John Roy Campbell","","978-0-9691600-0-7","","","","Anglican","1983","2022-01-19 18:32:13","2022-01-19 18:32:13","","","24","","","","","","","","","","Lingley Printing Co.","Saint John, NB","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JBDGHYY","book","1961","Prince, Samuel H.","The Architecture of Rural Society: The Inaugural Lectures of the Hackenley Memorial Foundation in Rural Sociology","","","","","","Architecture","1961","2022-01-19 18:32:13","2022-01-19 18:32:13","","","84","","","","","","","","","","Anglican Church of Canada","Toronto, ON","","","","UNBF, Legislative Library, Fredericton","","","","","","","","","Sociology, Rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZ7W7VGU","book","1890","Quigley, Richard F.; Kingdon, Hollingworth T.; Davenport, John M.","Ipse, Ipsa, Ipse, Ipsa, Ipsum, Which?: (the Latin Various Readings, Genesis Iii. 15.): Controversial Letters in Answer to the Above Question and in Vindication of the Position Assigned by the Catholic Church to the Ever-Blessed Mother of the World's Redeemer in the Divine Economy of Man's Salvation: In Reply to the Right Reverend Dr. Kingdon, Coadjutor (anglican) Bishop of Fredericton, New Brunswick and ""John M. Davenport, Priest of the Mission Church"", Ritualist Minister, St. John, New Brunswick","","978-0-665-04834-0","","","","Anglican","1890","2022-01-19 18:32:13","2022-01-19 18:32:13","","","471","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 04834","","","","F. Pustet","New York","English","","","PANB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVTBGCMN","book","1969","Quinn, Harry C.; Cassidy, Marion H.","Historical Highlights: St. Luke's Church, Celebrating the 200th Anniversary of the First Sermon Preached at Saint John, Marking the Beginnings of Organized Christian Worship in This Area","","","","","","Anglican","1969","2022-01-19 18:32:13","2022-01-19 18:32:13","","","12","","","","","","","","","","Lingley Print. Co.","Saint John, NB","English","","","NBM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FI5SXG7X","book","1879","Pentreath, Edwyn S. W.","A Sermon Preached Before the Synod of Fredericton, in Christ Church Cathedral, Fredericton, on the 9th Day of October, 1879","","978-0-665-11831-9","","","https://archive.org/details/cihm_11831","Anglican, Sermons","1879","2022-01-19 18:32:13","2022-01-19 18:32:13","","","16","","","","","","CIHM/ICMH microfiche series ; no. 11831","","","","Barnes & Co.","Saint John, NB","English","","","UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
