"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G4K27VAN","book","1995","Girouard, Anna M. S.","La Force herculéenne du maître-chantre: Louis-Joseph Ouellet, prêtre, curé de la paroisse de Notre-Dame du Mont-Carmel, Sainte-Marie de Kent, N.-B. Canada (1870-1913): recueil de textes","","978-2-89306-001-9","","","","Catholic, Clergy","1995","2022-01-19 18:32:56","2022-01-19 18:32:56","","","125","","","","","","","","","","Éditions les Balises","Sainte-Marie-de-Kent, NB","French","","","UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4AH6X2W","journalArticle","1952","Godin, Edgar","Monseigneur Thomas Cooke, missionnaire de la Baie des Chaleurs (1817-1823)","Rapport - Société canadienne d'histoire de l'Église catholique","","","","","Catholic, Missions","1952","2022-01-19 18:32:56","2022-01-19 18:32:56","","43-48","","","20","","","","","","","","","","French","","","UNBF, UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMDWE7YA","book","1953","Godmer, André M.","Esquisse historique de Baker-Brook; jubile d'argent de la benediction solennelle de l'Église, 1928-1953","","","","","","Catholic, Baker Brook","1953","2022-01-19 18:32:56","2022-01-19 18:32:56","","","57","","","","","","","","","","[""Le Madawaska""]","[Edmundston, NB]","French","","","UNBF, UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYSM22R3","journalArticle","1917","Georges, Émile","À Travers vingt-cinq années d’apostolat, les eudistes au Canada, 1896–1916","Revue acadienne","","","","","","1917","2022-01-19 18:32:56","2022-01-19 18:32:56","","153-158","","","1","","","","","","","","","","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T58XRDQP","bookSection","1961","Gerein, Frank","Sisters of Charity of St. John, N.B.","Golden Jubilee Archdiocese of Regina","","","","","Catholic, Women religious [book title Outline history of the Archdiocese of Regina?]","1961","2022-01-19 18:32:56","2022-01-19 18:32:56","","95-96","","","","","","","","","","","Chancery Office","Regina, SK","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMVNKRHL","book","1940","Gildas, M.","Mgr M.-F. Richard, prélat domestique : sa vie et ses oeuvres","","","","","","Catholic, Clergy, Biography","1940","2022-01-19 18:32:56","2022-01-19 18:32:56","","","153","","","","","","","","","","Imprimerie Nationale Ltée","Moncton NB","French","","","NBM, UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4N9QTGG5","book","1926","David, Albert P.","Les Missionaires du Sèminaire du Saint-Esprit à Quebec et en Acadie au XVIIIe siècle","","","","","","Catholic, Missions","1926","2022-01-19 18:32:56","2022-01-19 18:32:56","","","58","","","","","","","","","","G. Enault","Mamers (France)","","","","NBM, UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N727II6I","journalArticle","1994","Chiasson, Anselme","Concordat entre Micmacs et l'Église: réalité ou légende?","Les Cahiers. Societé historique-acadienne","","","","https://societehistoriqueacadienne.files.wordpress.com/2018/04/2501_total.pdf","Catholic, Missions, Indigenous people [check journal title (Cahier or Les Cahiers) and archive]","1994","2022-01-19 18:32:56","2022-01-19 18:32:56","","5-6","","1","25","","","","","","","","","","","","","NBM, Legislative Library, Fredericton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKH6EPXL","book","1977","De Grâce, Éloi","Monseigneur Stanislas-J. Doucet, p.d., 1847-1925","","","","","","Catholic, Clergy","1977","2022-01-19 18:32:56","2022-01-19 18:32:56","","","160","","","","","","","","","","N.p.","Shippagan, NB","French","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSEGBCG8","book","1895","De Rochemonteix, Camille","Les Jesuites et la Nouvelle-France au XVIIe Siecle : d'Apres Beaucoup de Documents inedits","","","","","","Catholic, Acadia description","1895","2022-01-19 18:32:56","2022-01-19 18:32:56","","","","","","3","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no 12670","","","","Letouzey et Ane","Paris","","","","UdeM (vols. 1, 3), UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
