"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NS6WIXFF","thesis","2012","Fox, Lorna","""In All Thy Sons Command"": Maritime Youth Parliaments Debates, 1945-70","","","","","htthttps://login.proxy.hil.unb.ca/login?url=https://search-proquest-com.proxy.hil.unb.ca/docview/1464385031?accountid=14611ps://search.proquest.com/pqdtglobal/docview/1464385031/abstract/47EF72FABB9E499APQ/85","Protestant, Youth, Tuxis, Maritime Christian Youth Parliament","2012","2022-01-19 18:34:12","2022-01-19 18:34:12","","","184","","","","","""In All Thy Sons Command""","","","","","University of New Brunswick","Fredericton, NB","English","","M.A.","UNBF","","","","","<p>2 microfiches</p>","/home/cvillami/Zotero/storage/RV44IHPE/Fox - 2012 - In all thy sons command Maritime youth Parliame.pdf","","","Social sciences; Maritime Christian Youth Parliament; Maritime Model Parliamentarians; Model parliament; Protestantism; Tuxis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCG2NMLU","book","1827","Marsden, Joshua","Narrative of a Mission: To Nova Scotia, New Brunswick, and the Somers Islands with a Tour to Lake Ontario, The","","","","","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10449942-5","Methodist, Mission","1827","2022-01-19 18:33:43","2022-01-19 18:33:43","2018-10-29 15:05:28","","xii, 348","","","","","The narrative of a mission","","","","","J. Kershaw","London","English","","","UNBF","","WorldCat Discovery Service","","","","","","","","","","","","","","","","","","","","","","","","","","","2nd ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMK5ALA8","journalArticle","1974","Baker, William M.","Squelching the Disloyal, Fenian-Sympathizing Brood: T. W. Anglin and Confederation in New Brunswick, 1865-6","Canadian Historical Review","","00083755","","https://login.proxy.hil.unb.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=45893611&site=ehost-live&scope=site","Confederation, Fenians, Anti-Catholic, Politics","1974-06","2022-01-19 18:32:56","2022-01-19 18:32:56","","141-158","","2","55","","Canadian Historical Review","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 45893611; Baker, William M.; Source Info: Jun1974, Vol. 55 Issue 2, p141; Historical Period: 1866; Subject Term: FENIANS; Subject Term: FEDERATIONS; Subject: CANADA; Subject: NEW Brunswick; Number of Pages: 18p; Document Type: Article</p>; <p>Accession Number: 45893611; Baker, William M.; Source Info: Jun1974, Vol. 55 Issue 2, p141; Historical Period: 1866; Subject Term: FENIANS; Subject Term: FEDERATIONS; Subject: CANADA; Subject: NEW Brunswick; Number of Pages: 18p; Document Type: Article</p>","","","CANADA; NEW Brunswick; CATHOLIC Church; ANGLIN, Timothy Warren; FEDERATIONS; FENIANS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNJ9E4EJ","book","1961","Bourgeois, Ulysse J.","L'Abbé F.-X. Lafrance, premier curé de Tracadie (1842-1852)","","","","","","Catholic, Clergy, Biography","1961","2022-01-19 18:32:56","2022-01-19 18:32:56","","","27","","","","","","","","","","L'Imprimerie Acadienne Lte.","Moncton, NB","en","","","MtA, Toronto Public Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8P2628N","book","1939","Clarke, Flora","Sisters : Canada and India","","","","","","Baptist, Missions","1939","2022-01-19 18:32:36","2022-01-19 18:32:36","","","682","","","","","Sisters","","","","","Maritime Press","Moncton, NB","English","","","UNBF","","","","","","/home/cvillami/Zotero/storage/NGZ54EJQ/search.html; /home/cvillami/Zotero/storage/ZD78TEB6/Sisters-Canada-and-India-Clarke-Flora.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CX92EBWL","book","1930","Mackinnon, Ian F.","Settlements and Churches in Nova Scotia, 1749-1776","","","","","","Baptist","1930","2022-01-19 18:32:36","2022-01-19 18:32:36","","","111","","","","","","","","","","Walker Press","Montreal, QC","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARTUK3XY","book","1894","Hopper, John E. P.","Life in the Hereafter World; or, ""Shall We Know Each Other There?""","","","","","https://archive.org/details/cihm_08420/page/n5","Baptist, Theology, Sermons","1894","2022-01-19 18:32:36","2022-01-19 18:32:36","","","92","","","","","","CIHM/ICMH microfiche series ; no. 08420","","","","Progress Electric Printing and Publishing Office","Saint John, NB","English","","","UNBF, MtA, Acadia","","","","","","/home/cvillami/Zotero/storage/4RSE4CJG/Life-in-the-Hereafter-World-on-Shall-we-know-each-other-there-Hopper-Rev-J-E.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVNNJVIV","journalArticle","1967","Bumsted, J. M.","Church and State in Maritime Canada, 1749-1807","Historical Papers","","","","https://retro.erudit.org/revue/hp/1967/v2/n1/030667ar.pdf","Charles Inglis, Anglican","1967","2022-01-19 18:32:13","2022-01-19 18:32:13","","41-58","","1","2","","","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 45734488; Bumsted, J. M.; Source Info: Jan1967, p41; Historical Period: 1749 to 1807; Subject Term: CHURCH & state; Subject: CANADA; Subject: ATLANTIC Provinces; Number of Pages: 18p; Document Type: Article</p>; <p>Accession Number: 45734488; Bumsted, J. M.; Source Info: Jan1967, p41; Historical Period: 1749 to 1807; Subject Term: CHURCH & state; Subject: CANADA; Subject: ATLANTIC Provinces; Number of Pages: 18p; Document Type: Article</p>","","https://login.proxy.hil.unb.ca/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ahl&AN=45734488&site=ehost-live&scope=site&scope=cite","CANADA; ATLANTIC Provinces; CHURCH of England; CHURCH & state; INGLIS, Charles, 1734-1816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QY5XEZEM","journalArticle","1955","Norris, John M.","Proposals for Promoting Religion and Literature in Canada, Nova Scotia, and New Brunswick","Canadian Historical Review","","00083755","","https://muse-jhu-edu.proxy.hil.unb.ca/article/623010/pdf","Anglican","1955-12","2022-01-19 18:32:13","2022-01-19 18:32:13","","335-340","","4","36","","","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 46497665; Norris, John M.; Source Info: Dec1955, Vol. 36 Issue 4, p335; Historical Period: 1786; Subject Term: LITERATURE; Subject Term: ANGLICAN Communion; Subject: CANADA; Subject: NOVA Scotia; Subject: NEW Brunswick; Number of Pages: 6p; Document Type: Article</p>; <p>Accession Number: 46497665; Norris, John M.; Source Info: Dec1955, Vol. 36 Issue 4, p335; Historical Period: 1786; Subject Term: LITERATURE; Subject Term: ANGLICAN Communion; Subject: CANADA; Subject: NOVA Scotia; Subject: NEW Brunswick; Number of Pages: 6p; Document Type: Article</p>","","","CANADA; NEW Brunswick; NOVA Scotia; ANGLICAN Communion; Constitution Act (1791); Jenkinson, Charles (Lord Hawkesbury); KNOX, William; LITERATURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3R685IA","journalArticle","2008","Goodwin, Daniel C.","The Origins and Development of Wilfred Currier Keirstead's Social and Religious Thought","Acadiensis","","00445851","","https://journals-lib-unb-ca.proxy.hil.unb.ca/index.php/Acadiensis/article/view/11147/11869","Baptist, Secularism, Education W. C. Keirstead was a leading Maritime social scientist, philosopher, and professor at the University of New Brunswick from 1908 to 1944. This article examines the formation of his social thought in an attempt to address the current debate among historians about whether or not social scientists in early-20th-century English Canada embraced modern thought at the expense of their Christian worldview, thereby helping to accelerate secularization. His writings reveal that he was not an agent of secularization, for although Keirstead embraced many aspects of modernity he continued to draw upon the Baptist religion of his youth and maintained a Christian outlook throughout his career. (English) [ABSTRACT FROM AUTHOR]","2008","2022-01-19 18:32:36","2022-01-19 18:32:36","","18-38","","2","37","","Acadiensis","","","","","","","","","","","UNBF, UNBSJ","","","","","<p>Accession Number: 44496627; GOODWIN, DANIEL C.; Source Info: Summer/Autumn2008, Vol. 37 Issue 2, p18; Historical Period: 1889 to 1944; Subject Term: SOCIAL scientists -- Psychology; Subject Term: BAPTISTS; Subject Term: RELIGION & the social sciences; Subject Term: UNIVERSITY of New Brunswick (Fredericton, N.B.); Subject Term: SECULARISM; Number of Pages: 21p; Document Type: Article</p>; <p>Accession Number: 44496627; GOODWIN, DANIEL C.; Source Info: Summer/Autumn2008, Vol. 37 Issue 2, p18; Historical Period: 1889 to 1944; Subject Term: SOCIAL scientists -- Psychology; Subject Term: BAPTISTS; Subject Term: RELIGION & the social sciences; Subject Term: UNIVERSITY of New Brunswick (Fredericton, N.B.); Subject Term: SECULARISM; Number of Pages: 21p; Document Type: Article</p>","","","BAPTISTS; DAVIDSON, John; KEIRSTEAD, Wilfred Currier; RELIGION & the social sciences; SECULARISM; SOCIAL scientists -- Psychology; UNIVERSITY of New Brunswick (Fredericton, N.B.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQHWJ2KQ","book","1984","Marie-Dorothée","Une Pierre de la mosaïque acadienne","","978-2-7609-5043-6","","","","Catholic, Women religious, Congrégation Notre-Dame du Sacré-Coeur","1984","2022-01-19 18:32:56","2022-01-19 18:32:56","","","189","","","","","","Ouvrages historiques","","","","Les Éditions Leméac","Ottawa, ON","French","","","UNBF, UdeM, Legislative Library, Fredericton, MtA, Acadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQDTVFH2","book","1930","Rogers McLeod, Grace","Pioneer Missionaries in the Atlantic Provinces","","","","","","Missions, Clergy, Silas Tertius Rand, Henry Alline, Jacob Bailey, William Black, James Drummond McGregor, Jean Maudet Sigoine","1930","2022-01-19 18:32:56","2022-01-19 18:32:56","","","64","","","","","","The Ryerson Canadian history readers","","","","Ryerson","Toronto, ON","English","","","UdeM, UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ8BXD43","thesis","1984","See, Scott W.","Nativism and Social Violence in Mid-Nineteenth Century New Brunswick, Canada","","","","","","Catholic, Protestant, Orange Order, Irish","1984","2022-01-19 18:32:56","2022-01-19 18:32:56","","","277","","","","","","","","","","University of Maine","","","","Ph.D.","UNBF (mic), UNBSJ (mic), Dalhousie","","","","","<p>Accession Number: 46900017; See, Scott William; Source Info: 1985, Vol. 46 Issue 4, p1065; Note: Dissertation Publication Information: U. of Maine 1984. 277 pp.; Historical Period: 1840 to 1849; Subject Term: VIOLENCE; Subject Term: RELIGION; Subject Term: NATIVISM; Subject Term: IRISH Canadians; Subject Term: EMIGRATION & immigration; Subject: CANADA; Subject: NEW Brunswick; Number of Pages: 2p; Document Type: Dissertation</p>; <p>Accession Number: 46900017; See, Scott William; Source Info: 1985, Vol. 46 Issue 4, p1065; Note: Dissertation Publication Information: U. of Maine 1984. 277 pp.; Historical Period: 1840 to 1849; Subject Term: VIOLENCE; Subject Term: RELIGION; Subject Term: NATIVISM; Subject Term: IRISH Canadians; Subject Term: EMIGRATION & immigration; Subject: CANADA; Subject: NEW Brunswick; Number of Pages: 2p; Document Type: Dissertation</p>","","","CANADA; NEW Brunswick; EMIGRATION & immigration; RELIGION; IRISH Canadians; NATIVISM; VIOLENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JK3AH8RX","journalArticle","1981","Jolicoeur, Catherine","La Vie religieuse des Acadiens à travers leurs croyances traditionelles","Sessions d'étude - Société canadienne d'histoire de l'Église catholique","","","","https://id-erudit-org.proxy.hil.unb.ca/iderudit/1007102ar","Catholic, Acadians","1981","2022-01-19 18:32:56","2022-01-19 18:32:56","","79-88","","","48","","","","","","","","","","French","","","UdeM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WIR5Y78X","book","1987","Lang, Ernest","Précis d'histoire religieuse de la Valleé de la rivière Saint-jean au Nouveau-Brunswick","","","","","","Catholic, Saint John River Valley","1987","2022-01-19 18:32:56","2022-01-19 18:32:56","","","92","","","","","","","","","","La Madawaska Ltée","Edmunston, NB","","","","UdeM, UMaineFtKent, Legislative Library Fredericton","","","","","","/home/cvillami/Zotero/storage/I7UQHA22/results.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQMF5URY","thesis","1984","LeBlanc, Ronnie G.","Antoine Gagnon, missionnaire auprès des Acadiens de sud-est du Nouveau-Brunswick, 1809-1849: ses missions, son apostolat, ses paroissiens","","","","","https://login.proxy.hil.unb.ca/login?url=https://www-proquest-com.proxy.hil.unb.ca/docview/303358734?accountid=14611","Catholic, Missions, Biography","1984","2022-01-19 18:32:56","2022-01-19 18:32:56","","","126","","","","","","","","","","Université de Moncton","Moncton, NB","","","M.A.","UdeM","","","","9780315388277","","/home/cvillami/Zotero/storage/NXFHF55D/one.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TP7XBMQ","thesis","1985","Laurence, Ardouin","Le Religion populaire dans la région de Caraquet au début du XIXe siècle (1798-1838)","","","","","","Acadians, Catholic, Gloucester County","1985","2022-01-19 18:32:56","2022-01-19 18:32:56","","","164","","","","","","","","","","Université de Poitiers; Université de Moncton","Moncton, NB","","","M.A.","UdeM, Legislative Library Fredericton","","","","","""Mémoire de Maîtrise""","","","","New Brunswick; Religion; Catholic Church; Nouveau-Brunswick; Église catholique; Acadians; Acadiens; Comté de Gloucester Caraquet; Gloucester County Caraquet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWGWTJ2C","book","1990","","Wolastoqi olomeskakon: Sit Annuwey Imiyewikuwam, Wolastoqiyik Nekutkuk. The Mass in Maliseet: St. Ann's Church, the St. John River people at Tobique, Tobique Indian Reservation, Maliseet, N.B.","","","","","","Indigenous people, Wolastoqiyik, Liturgy, Catholic","1990","2022-01-19 18:33:23","2022-01-19 18:33:23","","","53","","","","","","","","","","N.p.","Tobique, NB","English, Wolastoqey","","","UNBF","","","","","","","","","","Thibodeau, Norman","","Maliseet parishioners","","","","","","","","","","","","","","","","","2nd limited rev. ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GJHLNI9","book","2018","Holtmann, Catherine","Exploring Religion and Diversity in Canada: People, Practice and Possibility","","978-3-319-78231-7","","","","Religion, Sociology, Education, Canada","2018","2022-01-19 18:34:59","2022-01-19 18:34:59","","","264","","","","","","","","","","Springer International Publishing","Cham, Switzerland","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
