"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NQC7MXWX","bookSection","2003","Robinson, Ira","They Work in Faithfulness: Studies in the Constitutional Documents of Canadian Jewish Organizations Other Than Synagogues","Not Written in Stone","","","","https://www.jstor.org/stable/j.ctt1ckpg27.11","Jewish","2003","2022-01-19 18:33:30","2022-01-19 18:33:30","","111-152","","","","","","","Jews, Constitutions, and Constitutionalism in Canada","","","","University of Ottawa Press","Ottawa, ON","","","","UNBF","","","","DOI: 10.2307/j.ctt1ckpg27.11","","","","","","Robinson, Ira; Elazar, Daniel J.; Brown, Michael","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HWACLT7","book","1989","","From Our Grandmother's Kitchen","","","","","","Jewish, Cook books","1989","2022-01-19 18:33:30","2022-01-19 18:33:30","","","117","","","","","","","","","","Saint John Jewish Historical Museum","Saint John, NB","English","","","SJJHM, UNBF","","","","","","/home/cvillami/Zotero/storage/FG6UFWWT/From-Our-Grandmothers-Kitchen-Koven-Marcia-ed.html","","","","Koven, Marcia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69XA8MMT","book","1989","Koven, Marcia","Weaving the Past into the Present: A Glimpse into the 130 Year History of the Saint John Jewish Community","","0-969391-0-3","","","","Jewish","1989","2022-01-19 18:33:30","2022-01-19 18:33:30","","","80","","","","","","","","","","Saint John Jewish Historical Museum","Saint John, NB","English","","","SJJHM, UNBF, UNBSJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UM73G2VL","journalArticle","1981","Lazar, M. M.; Medjuck, Sheva","In the Beginning: A Brief History of Jews in Atlantic Canada","Canadian Jewish Historical Society Journal","","","","","Jewish","1981","2022-01-19 18:33:30","2022-01-19 18:33:30","","91-108","","","5","","","","","","","","","","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTF2DS92","thesis","1967","Foote, Raymond L.","The Fredericton Jewish Community: A Study in Class, Status, and Religion","","","","","","Jewish","1967","2022-01-19 18:33:30","2022-01-19 18:33:30","","","","","","","","The Fredericton Jewish community","","","","","University of New Brunswick","Saint John, NB","English","","M.A.","UNBF, UNBSJ (mic, 1968)","","","","","<p>1 microfilm reel ; 35 mm.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T89HU63P","thesis","2006","Fuller, Ainsley","The ""Winnipeg Free Press"", the ""Globe and Mail"", and the Jewish Refugee Crisis, 1933--1939","","","","","https://login.proxy.hil.unb.ca/login?url=https://search-proquest-com.proxy.hil.unb.ca/docview/304935121?accountid=14611","Jewish","2006","2022-01-19 18:33:30","2022-01-19 18:33:30","","","74","","","","","","","","","","University of New Brunswick","Fredericton, NB","English","","M.A.","UNBF","","","","","<p>1 microfiche</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62P6YWQK","book","2019","Theobald, Andrew","""Dangerous Enemy Sympathizers"": Canadian Internment Camp B, 1940-1945","","978-1-77310-124-8","","","","Jewish","2019","2022-01-19 18:33:30","2022-01-19 18:33:30","","","178","","","","","","","","","","Goose Lane Editions","Fredericton, NB","English","","","UNBF, UNBSJ, Legislative Library, Fredericton, Dalhousie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4I6JSLE","book","1988","Jones, Ted","Both Sides of the Wire: The Fredericton Internment Camp","","978-0-920483-21-3 978-0-920483-25-1","","","","Jewish, World War 1939-1945","1988","2022-01-19 18:33:30","2022-01-19 18:33:30","","","","","","2","","","The Fredericton internment camp","1","","","New Ireland Press","Fredericton, NB","English","","","UNBF, MtA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5IUNNMS","book","1998","Cohen, Reuben","A Time to Tell: The Public Life of a Private Man","","978-1-55013-957-0","","","","Jewish, Biography","1998","2022-01-19 18:33:30","2022-01-19 18:33:30","","","232","","","","","A time to tell","","","","","Key Porter Books","Toronto, ON","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4M25EGTI","book","1994","Deutsch, Mina","Mina's Story: A Doctor's Memoir of the Holocaust","","978-1-55022-212-8","","","","Jewish","1994","2022-01-19 18:33:30","2022-01-19 18:33:30","","","184","","","","","Mina's story","","","","","ECW Press","Toronto, ON","English","","","USainteAnne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
