"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MDLJ3FZG","book","1851","Mount Allison Wesleyan Academy","A Catalogue of the students of the Wesleyan Academy, Mount Allison, Sackville, N.B. : for the three years ending December, 1851 : with the general circular, explanatory of the terms, course of study, &c.","","978-0-665-43448-8","","","https://archive.org/details/cihm_43448","Wesleyan, Education","1851","2022-01-19 18:33:43","2022-01-19 18:33:43","","","","","","","","","","","","","N.p.","[Halifax, NS]","","","","Acadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSHU9B22","book","1867","Mount Allison Wesleyan College. Eurhetorian","Catalogue, Constitution and by-Laws of the Eurhetorian of Mount Allison Wesleyan College and Academy: Established 1861: Revised Constitution Adopted 1866","","978-0-665-29778-6","","","https://catalog.hathitrust.org/Record/100263987","Wesleyan, Education, Governance","1867","2022-01-19 18:33:43","2022-01-19 18:33:43","","","","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 29778","","","","N.p.","[Saint John, NB]","English","","","Toronto Public Library, UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAK9XB7E","journalArticle","1984","Mount, Graeme S.","Maritime Methodists and Black Bermudians, 1851-1870","Nova Scotia Historical Review","","02274752","","","Maritime Canada supplied many of the  Methodist, Missions, Methodist missionaries to Bermuda.  However, since these missionaries generally supported the segregation practices in Bermuda, evangelization among Bermuda blacks was not very successful until the arrival of clergy from the British Methodist Episcopal Church, which, as an outgrowth of the African Methodist Episcopal Church, was more sympathetic to the Bermudian blacks.","1984-07","2022-01-19 18:33:43","2022-01-19 18:33:43","","39-50","","2","4","","","","","","","","","","","","","UNBF","","","","","<p>Accession Number: 45940318; Mount, Graeme S.; Source Info: 1984, Vol. 4 Issue 2, p39; Note: Secondary sources; 49 notes.; Historical Period: 1799 to 1874; Subject Term: CHRISTIAN missions; Subject Term: MISSIONARIES; Subject Term: METHODIST Church; Subject Term: BLACKS; Subject: CANADA; Subject: MARITIME Provinces; Subject: BERMUDA Islands; Number of Pages: 12p; Document Type: Article</p>; <p>Accession Number: 45940318; Mount, Graeme S.; Source Info: 1984, Vol. 4 Issue 2, p39; Note: Secondary sources; 49 notes.; Historical Period: 1799 to 1874; Subject Term: CHRISTIAN missions; Subject Term: MISSIONARIES; Subject Term: METHODIST Church; Subject Term: BLACKS; Subject: CANADA; Subject: MARITIME Provinces; Subject: BERMUDA Islands; Number of Pages: 12p; Document Type: Article</p>","","","CANADA; MARITIME Provinces; CHRISTIAN missions; MISSIONARIES; BLACKS; BERMUDA Islands; METHODIST Church","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAE6X7PN","book","1883","Jost, Cranswick","Miracles: Being the Fifth Annual Lecture Before the Theological Union of Mount Allison Wesleyan College","","","","","https://archive.org/details/cihm_08460","","1883","2022-01-19 18:33:43","2022-01-19 18:33:43","","","36","","","","","","","","","","J. & A. McMillan","Saint John, NB","","","","Acadia, UNBF (mic)","","","","","","/home/cvillami/Zotero/storage/7PG4ZESR/search.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QLYD7DL","book","1891","Methodist Church. General Conference","Centennial of Canadian Methodism","","","","","https://archive.org/details/centennialofcana00unknuoft","Methodist (Canada)","1891","2022-01-19 18:33:43","2022-01-19 18:33:43","","","339","","","","","","","","","","W. Briggs","Toronto, ON","English","","","UNBF, NBM, MtA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BHVNWXK","book","1854","Narraway, J. R.","The Liquor Traffic: Ought It to Be Protected, or to Be Prohibited by Law?: The Substance of an Address Delivered at the Temperance Hall, Charlottetown, April 5, 1854, Before a Crowded and Influential Assemblage, Including Members of Both Houses of the Legislature, Specially Invited to Attend by the Sons of Temperance","","978-0-665-91602-1","","","https://catalog.hathitrust.org/Record/100313587","Methodist, Prohibition, Temperance, Lectures","1854","2022-01-19 18:33:43","2022-01-19 18:33:43","","","30","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 91602","","","","G. T. Haszard","Charlottetown, PEI","English","","","Dalhousie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFBIFI6B","book","1850","Knight, Matthew R.","The Genuineness and Authenticity of Revelations, a Lecture","","","","","","Methodist, Clergy, Lectures","1850","2022-01-19 18:33:43","2022-01-19 18:33:43","","","24","","","","","","","","","","","St. John, NB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4HWTPBN","book","1887","Knight, Matthew R.","Poems of Ten Years. 1877-86","","","","","https://www.canadiana.ca/view/oocihm.07961/1?r=0&s=1","Methodist, Clergy, Poetry","1887","2022-01-19 18:33:43","2022-01-19 18:33:43","","","143","","","","","","","","","","MacGregor & Knight","Halifax, NS","","","","Acadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66SEKLHQ","journalArticle","1999","Lane, Hannah M.","'Pence of the Poor and Pounds of the Rich, The': Methodist Church Finance and Wealth-Holding in Mid-Nineteenth Century St. Stephen, New Brunswick","Papers - Canadian Methodist Historical Society","","","","","Methodist","1999","2022-01-19 18:33:43","2022-01-19 18:33:43","","90-116","","","1997-98","","","","","","","","","","","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFB5KF2F","book","1871","Lathern, John","Cromwell, Cobden, Havelock, and the English Reformers","","978-0-665-08887-2","","","https://archive.org/details/cihm_08887","Methodist, Clergy, Lectures","1871","2022-01-19 18:33:43","2022-01-19 18:33:43","","","106","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 08887","","","","J. & A. McMillan","St. John, NB","English","","","UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
