"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q8P2628N","book","1939","Clarke, Flora","Sisters : Canada and India","","","","","","Baptist, Missions","1939","2022-01-19 18:32:36","2022-01-19 18:32:36","","","682","","","","","Sisters","","","","","Maritime Press","Moncton, NB","English","","","UNBF","","","","","","/home/cvillami/Zotero/storage/NGZ54EJQ/search.html; /home/cvillami/Zotero/storage/ZD78TEB6/Sisters-Canada-and-India-Clarke-Flora.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JAV2VCC","document","1966","","Missions Committee Reports","","","","","","Presbyterian","1966","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","Synod of the Atlantic Provinces","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7DRRBPV","book","","Miramichi Presbyterial United Church Women","History of the Churches in the Miramichi Presbytery, 1867-1967","","","","","","Presbyterian","n.d.","2022-01-19 18:33:59","2022-01-19 18:33:59","","","20","","","","","","","","","","N.p.","","","","","PANB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XLUYP3IQ","book","1852","Wishart, William T.","Female Sex: a Lecture Delivered in the St. John Mechanics' Institute","","","","","","Presbyterian, Lectures, Women","1852","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","","St. John, NB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UUZJI3E3","document","1920","","Presbyterian Young Peoples' Society Reports","","","","","","Presbyterian","1920","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","Synod of the Atlantic Provinces","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4CW8KDQJ","document","1976","","Life and Work Committee Reports/Recommendations","","","","","","Presbyterian","1976","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","Synod of the Atlantic Provinces","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56Y5BLV4","document","1993","","Camp Geddie Committee Report","","","","","","Presbyterian","1993","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","Synod of the Atlantic Provinces","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GTMS338","document","1976","","Christian Education Committee Report","","","","","","Presbyterian","1976","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","Synod of the Atlantic Provinces","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4M23WDI","document","1993","","Committee on Evangelism and Social Action Report","","","","","","Presbyterian","1993","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","Synod of the Atlantic Provinces","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEF3PYHG","book","1951","","Old Choir Selections: Being Selections from “The Choir: A Collection of Sacred Vocal Music for the Use of Congregation and Families of the Presbyterian Church of the Lower Provinces, B.N.A.”","","","","","","Presbyterian","1951","2022-01-19 18:33:59","2022-01-19 18:33:59","","","","","","","","","","","","","Synod of the Maritime Provinces of the  Presbyterian Church in Canada","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2nd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3JWF2PW","book","1942","","Old Choir Selections: Being Selections from “The Choir: A Collection of Sacred Vocal Music for the Use of Congregation and Families of the Presbyterian Church of the Lower Provinces, B.N.A.”","","","","","","Presbyterian","1942","2022-01-19 18:33:59","2022-01-19 18:33:59","","","72","","","","","","","","","","Synod of the Maritime Provinces of the  Presbyterian Church in Canada","","","","","Presbyterian Church of Canada Archives, Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DR6M9AIS","journalArticle","1869","s.n.","Church in New Brunswick: Presbytery of St. John, The","Monthly Record of the Church of Scotland","","","","","W.T.W., Presbyterian","1869-03","2022-01-19 18:33:59","2022-01-19 18:33:59","","68-70","","3","XV","","","","","","","","","","","","","NBM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJQG7PSM","bookSection","1994","Wood, B. Anne","Schooling for Presbyterian Leaders: The College Years of Pictou Academy, 1816-1832","Burning Bush and a Few Acres of Snow: The Presbyterian Contribution to Canadian Life and Culture","","","","","Presbyterian","1994","2022-01-19 18:33:59","2022-01-19 18:33:59","","299","","","","","","","","","","","McGill-Queen's U.P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHTVA2YW","book","1966","Whyte, Wallace E.","150th Anniversary of the Presbyterian Church in Chatham: 1816-1966, a Brief History","","","","","","Presbyterian","1966","2022-01-19 18:33:59","2022-01-19 18:33:59","","","32","","","","","","","","","","N.p.","","","","","UNBF, Legislative Library, Fredericton, PANB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YS7S4ETZ","book","1842","Gray, Thomas Rev.","Sketch of the Life of Mr. Thomas Craigs Lately Elder and Precenter in the Scottish Church, Wooler, Northumberland","","","","","","Presbyterian, Wooler NB","1842","2022-01-19 18:33:59","2022-01-19 18:33:59","","","10","","","","","","","","","","N.p.","","","","","PANB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXT4UYTE","book","1975","Winters, Nellie","To recall and pass on, Saint Andrew's Presbyterian Church Fredericton, NB","","","","","","Presbyterian","1975","2022-01-19 18:33:59","2022-01-19 18:33:59","","","32","","","","","","","","","","N.p.","","","","","PANB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
