"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A8U92ZIA","journalArticle","1996","Norrell, J. E.; Norrell, Thomas H.","Faculty and family policies in higher education","Journal of Family Issues","","","10.1177/019251396017002004","http://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,url,uid&db=eue&AN=508588354&site=ehost-live&scope=site","The writers offer a review of the existing policies in higher education institutions that influence faculty and their families and highlight areas for advocacy and research. They note that anecdotal evidence suggests that there is considerable variance in policies both between and within universities and that the consequences of certain policies may result in discrimination against women. Therefore, they examine dual-career problems and parental concerns with regard to gender equity. They consider the ramifications of these policies for recruitment and retention of faculty and for the process of tenure and promotion.","1996","2024-09-24 17:53:57","2024-09-24 17:53:57","","204-226","","","17","","","","","","","","","","","","","","","","","","","","","College teachers; COLLEGE teachers – Family relationships; Discrimination in higher education; Dual-career families; Employee fringe benefits; Families; Family policy – United States; Maternity leave; Women college teachers; Work & family","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDQ8LKHW","book","2000","Offermann, Frank; Nieberg, Hiltrud","Economic performance of organic farms in Europe","","","","","http://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=0553280&site=ehost-live&scope=site","Provides an overview of the socioeconomic performance of organic farming in Europe at the farm and regional levels. Describes the resources and production structure of organic farms. Provides a comparative analysis of yields, prices, and costs in organic and conventional farming. Examines the profits of organic farms in relation to those of comparable conventional farms, differentiated by country and farm types. Studies the specific situation in individual countries for insight into the economic performance of organic farms in these countries. Considers the impact of the 1992 reform of the Common Agricultural Policy on organic farming. Discusses the regional impacts of organic farming. Examines the competitiveness of organic farming and highlights important research topics for farm economics. Annexes provide literature reviews on yields in crop production and on performances in livestock production and present statistical tables. Offermann and Nieberg are at the Institute of Farm Economics and Rural Studies at the Federal Agricultural Research Centre, Braunschweig. Bibliography; no index.","2000","2024-09-24 17:53:57","2024-09-24 17:53:57","","","xviii","","","","","","","","","","Organic Farming in Europe: Economics and Policy series, vol. 5; Stuttgart:; University of Hohenheim, Department of Farm Economics","","","","","","","","","","","","","Agricultural Extension Services Q160; Agricultural R&D; Agricultural Technology; Agriculture: Aggregate Supply and Demand Analysis; and Farm Input Markets Q120; Farm Households; Micro Analysis of Farm Firms; Prices Q110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KP4KWRDA","book","2002","Parker, Martin","Against management : organization in the age of managerialism","","0745629253 (alk. paper)","","","","","2002","2024-09-24 17:53:57","2024-09-24 17:53:57","","","250","","","","","","","","","","Blackwell","Cambridge; Malden, MA","","","","","","","","","","","","Management; Organizational effectiveness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KD5XGFLA","book","2001","Ostroff, Elaine; Preiser, Wolfgang F. E.","Universal design handbook","","0071359575 (alk. paper)","","","","","2001","2024-09-24 17:53:57","2024-09-24 17:53:57","","","","","","","","","","","","","McGraw-Hill","New York; Toronto","","","","","","","","","","","","Barrier-free design; Universal design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HF67KI9N","journalArticle","2010","Phillips, Carissa M. Holler","Students' Research Experiences during Consulting Projects: Three Themes Emerging from Case Studies","Behavioral & Social Sciences Librarian","","","","http://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ884358&site=ehost-live&scope=site; http://www.informaworld.com/openurl?genre=article&id=doi:10.1080/01639261003742157","Student consulting projects, an advanced form of problem-based learning, allow students to apply the skills developed in their classes on behalf of client organizations. A review of selected case studies in business education and other management education literature shows that research is an integral part of this consulting process. More than that, the process of conducting research on behalf of a client exposes students to concepts of self-management, relationship management, and data management. With expert skills in conducting research and in developing information literacy instruction plans, librarians can lend structure to the unstructured research process in order to support the students as they evolve into self-managed, lifelong learners.","2010","2024-09-24 17:53:57","2024-09-24 17:53:57","","91-108","","2","29","","","","","","","","","","","","","","","","","","","","","Administrator Education; Business education; CASE studies; Consultation Programs; INFORMATION literacy; Interpersonal Competence; Interprofessional Relationship; LITERATURE reviews; Problem Based Learning; Research skills; Self Management; Skill Development; Student Experience; STUDENT research; Teaching Methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGALICLN","book","1993","Press, Oxford University","The Oxford dictionary for the business world","","0198631251 : %C2%A315.95","","","","","1993","2024-09-24 17:53:57","2024-09-24 17:53:57","","","996","","","","","","","","","","Oxford University Press","Oxford; Toronto","","","","","","","","","","","","Business–Dictionaries; Economics–Dictionaries; Finance–Dictionaries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLZPGBCZ","book","2014","alp07@my.fsu.edu, Abigail L. 1 Phillips","What Do We Mean By Library Leadership? Leadership in LIS Education","","07485786","","","http://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,url,uid&db=lls&AN=99055675&site=ehost-live&scope=site","Leadership is an often-misunderstood word, especially in the context of libraries. With multiple definitions for the word leadership' and vast numbers of leadership styles, it can be difficult to identity what exactly is meant when discussing library leadership. This literature review brings together 10 years of scholarly research on leadership in the library as it relates to LIS education. Through a close evaluation of this literature, a more holistic understanding of leadership' as a concept in LIS education can be better understood. Several topics are highlighted and discussed including the ambiguity in definitions of 'leadership', the qualities of library leaders, leadership in LIS curriculum, library leadership and organization change, and library leadership and new librarians. For this review, the definition of LIS curriculum includes professional association leadership programs. Closing this literature review are recommendations for incorporating leadership education and mentorship opportunities into MLIS programs. ABSTRACT FROM AUTHOR]","2014","2024-09-24 17:53:57","2024-09-24 17:53:57","","","336-344","","55","","","","","4","","","","","","","","","","","","","","","","Educational quality – Research; Leadership; Leadership – Research; leadership programs; Library education – Research; Library schools – Curricula; LIS curriculum; LIS education; Mentoring in education – Research; mentorship","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CYPFGS2","journalArticle","2004","Pfeffer, J.; Fong, C. T","The Business School ‘Business’: Some Lessons from the US Experience.","Journal of Management Studies","","","10.1111/j.1467-6486.2004.00484.x","","","2004","2024-09-24 17:53:57","2024-09-24 17:53:57","","1501-1520","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCYZRCLT","journalArticle","2006","Paster, Amy; Fescemyer, Kathy; Henry, Nancy","Assessing Reference: Using the Wisconsin-Ohio Reference Evaluation Program in an Academic Science Library","Issues in Science & Technology Librarianship","","","","The author of this article has chosen the following Web sites:http://fisher.lib.virginia.edu/arl/http://www.libqual.org/http://worep.library.kent.edu/; Library Owns?WilsonLink http://vnweb.hwwilsonweb.com/hww/jumpstart.jhtml?recid=0bc05f7a67b1790ea43489dcca60c3520a84a79133eea24189b0931b76e5e7040ee25188ce5744d5&fmt=C","","2006","2024-09-24 17:53:57","2024-09-24 17:53:57","","1","","46","","","","","","","","","","","English","","","","","","","","","","","College and university libraries/reference services; EDUCATION; Library & Information Science; Pennsylvania State University/Libraries/Reference services; Use studies/Reference services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MA5G4HK","journalArticle","2004","Ouellett, Mathew L.","Faculty Development and Universal Instructional Design","Equity & Excellence in Education","","","10.1080/10665680490453977","http://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,url,uid&db=eue&AN=507913099&site=ehost-live&scope=site","Part of a special issue on universal instructional design (UID) and higher education. Consisting of instructional resources that facilitate learning among all individuals regardless of wide differences in abilities, UID is an approach that allows faculty to support the educational success of all students. On an individual level, instructors can implement UID principles through a framework that includes teacher self-awareness, innovative pedagogy, essential course components, and assessment and evaluation. Each of these aspects are considered, and the institutional structures that support UID are discussed.","2004","2024-09-24 17:53:57","2024-09-24 17:53:57","","135-144","","2","37","","","","","","","","","","","","","","","","","","","","","EDUCATION; College teachers – Training of; Graduate teaching assistants – Training of; Instructional systems; Instructional systems design; Performance standards; Postsecondary education; STUDENTS; Students with disabilities; Teachers – In-service training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C597MDR9","journalArticle","2009","Orr, Ann C.; Hammig, Sara Bachman","Inclusive Postsecondary Strategies for Teaching Students with Learning Disabilities: A Review of the Literature","Learning Disability Quarterly","","","","http://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,url,uid&db=eric&AN=EJ867619&site=ehost-live&scope=site; http://www.cldinternational.org/Publications/LDQ.asp","One out of every 11 postsecondary undergraduates report having a disability, and students with learning disabilities are the largest and fastest growing subgroup of this population. Although faculty are becoming more comfortable with providing students with learning disabilities accommodations as mandated by federal law, many instructors are using inclusive teaching strategies to better meet the needs of all students. Principles of universal design, borrowed from architecture and manufacturing, are increasingly influential on postsecondary pedagogy. This review of the literature examined 38 research-based articles related to universal design and inclusive practice at the postsecondary level. Five primary themes are identified and discussed in relation to their supporting literature: backward design, multiple means of presentation, inclusive teaching strategies and learner supports, inclusive assessment, and instructor approachability and empathy. (Contains 2 tables.)","2009","2024-09-24 17:53:57","2024-09-24 17:53:57","","181-196","","3","32","","","","","","","","","","","","","","","","","","","","","LITERATURE reviews; Teaching Methods; Access to Education; Classroom Techniques; College Faculty; Compliance (Legal); Design; Empathy; Evaluation Methods; Federal Legislation; Inclusive Schools; Learning disabilities; Mainstreaming; Special Needs Students; Student Evaluation; Student Needs; Teacher Student Relationship; Undergraduate Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KACL2L6N","book","2000","Parente, Stephen L.; Prescott, Edward C.","Barriers to riches","","0262161931 (alk. paper)","","","","Contents: _Title:List of Tables; Contents: _Title:List of Figures; Contents: _Title:Preface; Contents: _Title:Acknowledgments; Contents: Chapter:1_Title:Introduction_Page:1; Contents: Chapter:2_Title:International Income Facts_Page:11; Contents: Chapter:3_Title:Growth Theory with No TFP Differences_Page:35; Contents: Chapter:4_Title:Growth Theory with a Human Capital Sector_Page:57; Contents: Chapter:5_Title:Growth Theory with TFP Differences_Page:67; Contents: Chapter:6_Title:Constraints on Firm Technologies and TFP_Page:81; Contents: Chapter:7_Title:Evidence of Barriers to Efficiency_Page:91; Contents: Chapter:8_Title:Monopoly Rights: A Theory of TFP Differences_Page:103; Contents: Chapter:9_Title:Conclusion_Page:133; Contents: _Title:Notes_Page:147; Contents: _Title:References_Page:151; Contents: _Title:Index_Page:157","2000","2024-09-24 17:53:57","2024-09-24 17:53:57","","","164","","","","","","","","","","MIT Press","Cambridge, Mass","","","","","","","","","","","","Economic development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
