"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PDDBJZJZ","manuscript","1969","Savage, H.","Faunal material from BhDr1, Passamaquoddy Bay, New Brunswick","","","","","","","1969","2025-05-27 00:19:14","2025-05-27 00:19:14","","","","","","","","","","","","","","Ms. on file, Faunal Osteoarchaeology Lab, Department of Anthropology, University of Toronto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEUFIHJ4","bookSection","2009","Sanger, David","Foraging for Swordfish (Xiphias gladius) in the Gulf of Maine","Painting with a Broad Brush: Papers in Honor of James V. Wright","","","","","","2009","2025-05-27 00:19:14","2025-05-27 00:19:14","","1-36","","","","","","","Mercury Series","170","","","Canadian Museum of Civilization","Gatineau","","","","","","","","","","","","","","Keenlyside, David L.; Pilon, Jean-Luc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJ26IY54","journalArticle","2009","Sanger, David","Birchbark Canoes, Dugouts, and Gouges: Is There Any Logical Relationship?","Maine Archaeological Society Bulletin","","","","","","2009","2025-05-27 00:19:14","2025-05-27 00:19:14","","17-34","","2","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZSGV496","journalArticle","2008","Sanger, David","Discerning Regional Variation: The Terminal Archaic Period in the Quoddy Region of the Maritime Peninsula","Canadian Journal of Archaeology","","","","","","2008","2025-05-27 00:19:14","2025-05-27 00:19:14","","1-42","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3GDC95E","bookSection","2005","Sanger, David","Pre-European Dawnland: Archaeology of the Maritime Peninsula","New England and the Maritime Provinces: Connections and Comparisons","0-7735-2865-2","","","","","2005","2025-05-27 00:19:14","2025-05-27 00:19:14","","15-31","","","","","","","","","","","McGill-Queen's University Press","Montreal","en","","","","","","","","","","","","","Hornsby, Stephen J.; Reid, John G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y4N88DX8","journalArticle","1996","Sanger, David","Testing the Models: Hunter-Gatherer Use of Space in the Gulf of Maine, USA","World Archaeology","","","","","","1996","2025-05-27 00:19:14","2025-05-27 00:19:14","","512-526","","3","27","","","","","","","","","","","","","","","","","","<p>Confirm this is relevant?</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UECG37UY","journalArticle","1986","Sanger, David","An Introduction to the Prehistory of the Passamaquoddy Bay Region","American Review of Canadian Studies","","","","","","1986","2025-05-27 00:19:14","2025-05-27 00:19:14","","139-159","","2","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ED2WRK4","journalArticle","1982","Sanger, David","Changing Views of Aboriginal Seasonality and Settlement in the Gulf of Maine","Canadian Journal of Anthropology","","","","","","1982","2025-05-27 00:19:14","2025-05-27 00:19:14","","195-203","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7WVIFY9E","bookSection","1993","Sanger, David","Cow Point Revisited","Prehistoric Archaeology in the Maritime Provinces: Past & Present Research","","","","","","1993","2025-05-27 00:19:14","2025-05-27 00:19:14","","73-84","","","","","","","The Council of Maritime Premiers Maritime Committee on Archaeological Cooperation Reports in Archaeology","no. 8","","","The Council of Maritime Premiers Maritime Committee on Archaeological Cooperation","Fredericton","","","","","","","","","","","","","","Deal, Michael; Blair, Susan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7IY2X3E","journalArticle","1988","Sanger, David","Maritime Adaptations in the Gulf of Maine","Archaeology of Eastern North America","","","","","","1988","2025-05-27 00:19:14","2025-05-27 00:19:14","","81-99","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WYCGLBKJ","book","1987","Sanger, David","The Carson Site and the Late Ceramic period in Passamaquoddy Bay, New Brunswick","","0660107678 (pbk.) 0316-1854 0317-2244 ;","","","","","1987","2025-05-27 00:19:14","2025-05-27 00:19:14","","","xiii, 157 p.","","","","","","Mercury Series","no 135","","","National Museums of Canada","Ottawa, Canada","","","","","4322386","","","","<p>87210093<br/>David Sanger.<br/>ill. ; 28 cm.<br/>Summary in French.<br/>Bibliography: p. 142-157.<br/>Archaeological Survey of Canada paper ; no. 135.</p>","","","Carson Site (N.B.); Excavations (Archaeology) New Brunswick.; Excavations (Archaeology) Passamaquoddy Bay (N.B. and Me.); Indians of North America New Brunswick Antiquities.; Indians of North America Passamaquoddy Bay (N.B. and Me.) Antiquities.; New Brunswick Antiquities.; Paleoecology Passamaquoddy Bay (N.B. and Me.); Passamaquoddy Bay (N.B. and Me.) Antiquities.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DYSU7S6C","bookSection","1983","Sanger, David","Archaeozoology of the Gulf of Maine, North America","Animals and Archaeology","","","","","","1983","2025-05-27 00:19:14","2025-05-27 00:19:14","","","","","2: Shell Middens, Fishes, and Birds","","","","British International Reports, International Series","183","","","","","","","","","","","","","","","","","","Grigson, C.; Clutton-Brock, J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPDJYU4G","journalArticle","1981","Sanger, David","Unscrambling Messages in the Midden","Archaeology of Eastern North America","","","","","","1981","2025-05-27 00:19:14","2025-05-27 00:19:14","","37-42","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LGPIN8Q","journalArticle","1975","Sanger, David","Culture Change as an Adaptive Process in the Maine Maritimes Region","Arctic Anthropology","","","","","","1975","2025-05-27 00:19:14","2025-05-27 00:19:14","","60-75","","2","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
