"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7QWUQ6MB","book","1956","","Constitution and Treatise of the Free Baptist Church of Nova Scotia and New Brunswick","","","","","","Baptist, Covenants","1956","2022-01-19 18:32:36","2022-01-19 18:32:36","","","32","","","","","","","","","","N.p.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR6S2MK4","journalArticle","1871","s.n.","A Denominational Out-Look","Minutes of the Eastern New Brunswick Baptist Association","","","","","Baptist","1871","2022-01-19 18:32:36","2022-01-19 18:32:36","","47-48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYBZIVGF","journalArticle","1884","","[Journal] The Messenger and Visitor","","","","","","Baptist, Algamation of Christian Messenger and Christian Visitor","1884","2022-01-19 18:32:36","2022-01-19 18:32:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7YCJH2G","journalArticle","1847","","[Journal] The Christian Visitor","","","","","","New Brunswick Regular Baptists","1847","2022-01-19 18:32:36","2022-01-19 18:32:36","","","","","","","","","","","","","","","","","","UNBF (mic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3U65M84A","book","1985","","What You Need to Know About Ordination Procedures and Were Afraid to Ask","","","","","","Baptist","1985","2022-01-19 18:32:36","2022-01-19 18:32:36","","","7","","","","","","","","","","Board of Ministerial Standards and Education, United Baptist Convention of the Atlantic Provinces","Saint John, NB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YT4VJ92C","journalArticle","","","[Journal] The Christian Messenger","","","","","","Baptist [3 different options for The Christian Messenger https://unb.on.worldcat.org/search?queryString=The%20Christian%20Messenger&clusterResults=true&groupVariantRecords=false]","","2022-01-19 18:32:36","2022-01-19 18:32:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N94U776Y","book","1972","","Sixty-Fifth Annual Report of the United Baptist Woman's Missionary Union (incorporated 1907) Including Woman's Missionary Society, Organized 1870, Woman's Baptist Missionary Union, Organized 1884, Free Baptist Woman's Missionary Society, Organized 1875","","","","","","Baptist, Women, Missions","1972","2022-01-19 18:32:36","2022-01-19 18:32:36","","","131","","","","","","","","","","Lingley Printing Co., Ltd.","Saint John, NB","","","","Legislative Library, Fredericton","","","","","","","","","Corporation reports; Saint John (N. B.)","Campbell, George F.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJXJPTWF","book","1918","Canadian Baptist Foreign Mission Board; Davis, John E.","The Life Story of a Leper: Autobiography of John E. Davis, Canadian Baptist Missionary Among the Telugus","","","","","https://www.canadiana.ca/view/oocihm.76858/1?r=0&s=1","Baptist, Missions","1918","2022-01-19 18:32:36","2022-01-19 18:32:36","","","289","","","","","The life story of a leper","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 76858","","","","Canadian Baptist Foreign Mission Board","Toronto, ON","","","","UNBF","","","","","","/home/cvillami/Zotero/storage/JC3HSQ6Z/search.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRU8ZM36","thesis","1943","Colpitts, Robert A.","The Maritime B.Y.P.U. Through Fifty Years","","","","","","Baptist","1943","2022-01-19 18:32:36","2022-01-19 18:32:36","","","","","","","","","","","","","Acadia Divinity College","Wolfville, NS","","","B. Div.","Acadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UB9FICMZ","book","1872","Connolly, Cornelius","The Nature of Man, the Primary Import of Death and the Original Penalty of the Divine Law","","","","","","Baptist, Theology [unable to locate]","1872","2022-01-19 18:32:36","2022-01-19 18:32:36","","","","","","","","","","","","","Messenger and Visitor","St. John, NB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
