"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RT7PIFAC","book","1827","West, John","A Journal of a Mission to the Indians of British Provinces, of New Brunswick, and Nova Scotia, and the Mohawks on the Ouse or Grand River, Upper Canada","","","","","https://archive.org/details/cihm_42450/page/n9","Anglican, Missions, Indigenous people","1827","2022-01-19 18:32:13","2022-01-19 18:32:13","","","326","","","","","","CIHM/ICMH microfiche series ; no. 42450","","","","L.B. Seeley","London","English","","","Legislative Library, Fredericton, UNBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4MFDIUE","journalArticle","1979","Allard, Claude","La Mission des Pères Capucins auprès des Indiens de Ristigouche","Sessions d'étude - Société canadienne d'histoire de l'Église catholique","","","https://doi.org/10.7202/1007117ar","https://id-erudit-org.proxy.hil.unb.ca/iderudit/1007117ar","Catholic, Missions, Indigenous people, Restigouche","1979","2022-01-19 18:32:56","2022-01-19 18:32:56","","87-98","","","46","","","","","","","","","","","","","UdeM","","","","","","/home/cvillami/Zotero/storage/PYIVGZ94/1007117ar.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UY5L3B2","book","1919","Rand, Silas T.; Anderson, William P.","Micmac Place-Names in the Maritime Provinces and the Gaspé Peninsula Recorded Between 1852 and 1890","","","","","https://www.canadiana.ca/view/oocihm.81895","Indigenous people, Geography, Place names, Mi'kmaq","1919","2022-01-19 18:33:23","2022-01-19 18:33:23","","","116","","","","","","CIHM/ICMH Microfiche series = CIHM/ICMH collection de microfiches ; no. 81895","","","","Surveyor General's Office","Ottawa, ON","English","","","MtA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SBSGNLL","book","1848","Rand, Silas T.; Brinton, Daniel G.","Legends of the Micmac Indians and Extracts from the Micmac Prayer Book","","","","","","Indigenous people, Texts","1848","2022-01-19 18:33:23","2022-01-19 18:33:23","","","193","","","","","","","","","","","[Charlottetown, PEI ; Hantsport, NS]","English, Mi'kmaq","","","University of Pennsylvania","Berendt-Brinton Linguistic Collection. Item 225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NKXEALH","book","1853","Rand, Silas T.; British and Foreign Bible Society","The Gospel According to Saint Matthew, in the Micmac Language, Printed for the Use of the Micmac Mission by the British and Foreign Bible Society","","","","","https://catalog.hathitrust.org/Record/011566274","Indigenous people, Texts, Matthew, Mi'kmaq","1853","2022-01-19 18:33:23","2022-01-19 18:33:23","","","118","","","","","","","","","","G. T. Haszard","Charlottetown, PEI","Mi'kmaq","","","Acadia, Dalhousie, NSLegLib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W255994Y","book","1870","Rand, Silas T.; British and Foreign Bible Society; Micmac Mission","The Gospel According to St. John in the Language of the Malliseet Indians of New Brunswick","","","","","https://archive.org/details/cihm_02411","Indigenous people, Texts, John, Wolastoqey","1870","2022-01-19 18:33:23","2022-01-19 18:33:23","","","110","","","","","","CIHM/ICMH microfiche series ; no. 02411","","","","British and Foreign Bible Society","London, UK","Wolastoqey","","","UNBF","","","","","","","","","","","","Thomas, Gabriel.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WLJSQ8Z","book","1874","Rand, Silas T.; British and Foreign Bible Society","The Epistle of Paul to the Romans","","","","","https://catalog.hathitrust.org/Record/001928887","Indigenous people, Texts, Paul, Mi'kmaq","1874","2022-01-19 18:33:23","2022-01-19 18:33:23","","","434","","","","","","","","","","[British and Foreign Bible Society]","[Halifax, NS]","Mi'kmaq","","","McGill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZI94FKA","book","1847","Rand, Silas T.; Brooks, Joseph; Rand, Harriet B.; Pilling, James C.; Edward E. Ayer Manuscript Collection (Newberry Library); Newberry Library. Ayer MS 1628","Sentences in Micmac: Ĕlĕnu wegădigŭn","","","","","","Indigenous people, Language, Mi'kmaq Edward E. Ayer Manuscript Collection (Newberry Library)","1847","2022-01-19 18:33:23","2022-01-19 18:33:23","","","63","","","","","","","","","","","","Mi'kmaq, English","","","Newberry Library","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UV6T8TAM","journalArticle","1993","Ray, Roger B.","Evidence of Jessakidds at Machiasport","Maine Historical Society Quarterly","","01631152","","","Indigenous people, Religion The Red Paint culture moved from the west - probably the Great Lakes region - into Maine and the Atlantic Maritimes around 3000 BC, and disappeared around 1500 BC after a rise in the sea level, the cooling of ocean temperatures, and the parasitic depletion of oysters reduced the food supply. Petroglyphs indicate that they hired members of a prestigious Ojibwa religious society, Jessakkidds, to help cope with the changing conditions.","1993-09","2022-01-19 18:33:23","2022-01-19 18:33:23","","202-209","","3/4","33","","","","","","","","","","","","","MtA","","","","","<p>Accession Number: 45825549; Ray, Roger B.; Source Info: 1993, Vol. 33 Issue 3/4, p202; Note: Based on David Sanger's ""Who Were the Red Paints?,"" Maine Archaeological Society Bulletin (1973); Mark H. Hedden's ""Petroglyphs on Hog Island, Machias Bay,"" Maine Archaeological Society Bulletin (1987); and other sources; 5 photos, 11 notes.; Historical Period: 1500 BCE; Subject Term: SOCIETIES; Subject Term: RELIGION; Subject Term: RED Paint culture; Subject Term: PETROGLYPHS; Subject Term: RELIGIOUS societies; Subject Term: OJIBWA (North American people) -- Religion; Subject Term: INDIGENOUS peoples of the Americas; Number of Pages: 8p; Document Type: Article</p>; <p>Accession Number: 45825549; Ray, Roger B.; Source Info: 1993, Vol. 33 Issue 3/4, p202; Note: Based on David Sanger's ""Who Were the Red Paints?,"" Maine Archaeological Society Bulletin (1973); Mark H. Hedden's ""Petroglyphs on Hog Island, Machias Bay,"" Maine Archaeological Society Bulletin (1987); and other sources; 5 photos, 11 notes.; Historical Period: 1500 BCE; Subject Term: SOCIETIES; Subject Term: RELIGION; Subject Term: RED Paint culture; Subject Term: PETROGLYPHS; Subject Term: RELIGIOUS societies; Subject Term: OJIBWA (North American people) -- Religion; Subject Term: INDIGENOUS peoples of the Americas; Number of Pages: 8p; Document Type: Article</p>","","","RELIGION; INDIGENOUS peoples of the Americas; Maine (Machiasport); OJIBWA (North American people) -- Religion; PETROGLYPHS; RED Paint culture; RELIGIOUS societies; SOCIETIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FWME4QI","thesis","1994","Reid, Jennifer","No Man's Land: British and Mi'kmaq in 18th and 19th Century Acadia","","","","","https://login.proxy.hil.unb.ca/login?url=https://www-proquest-com.proxy.hil.unb.ca/docview/89240192?accountid=14611","Indigenous people, Mi'kmaq, Cultural contact, Alienation This dissertation begins with a problem of alienation as it has historically emerged in Canada's Maritime provinces of Nova Scotia, New Brunswick, and Prince Edward Island. The estrangement of the region's aboriginal population from white arenas of social valuation provides a point of departure for this historical analysis of pre-Confederation Mi'kmaq-white relations; and the religious life of both peoples provides the raw material from which is constructed an understanding of both the evolution of alienated forms of existence in this context, and the possibility of freedom from these. With an initial assumption that religion is the mode by which human beings orient themselves in the world so as to ensure that their existence is meaningful, this analysis focuses on the human relationship with landscape in colonial Acadia. It is the fundamental need to feel 'at home' that is explored in respect to both aboriginal and white populations; and the religious symbols and myths that arise out of this necessity betray the emergence of two distinct forms of human alienation that of the Mi'kmaq from white colonial society, and that of whites from an authentic appreciation of the place in which they are situated. The dissertation concludes with suggestions for constructively utilizing knowledge of the religious structures that underpin the historical fact of New World alienation.","1994","2022-01-19 18:33:23","2022-01-19 18:33:23","","","209","","","","","","","","","","University of Ottawa","Ottawa, ON","English","","Ph.D.","LAC","","","","","","/home/cvillami/Zotero/storage/ICMSV4A2/Reid - 1994 - No man's land British and Mi'kmaq in 18th and 19t.pdf","","","Philosophy; religion and theology; nineteenth century; Social sciences; New Brunswick; alienation; eighteenth century; landscape; Nova Scotia; Prince Edward Island; religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
